,Number,Name,Latitude,Longitude,District,Public,Total docks,danger_score,danger_score2
134,D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,Yes,19,155.0,382.0
135,Z32999,Cummins Highway at Blue Hill Ave T Stop,42.26998847,-71.09746183,Boston,Yes,14,29.0,60.0
136,E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,Yes,15,78.0,193.0
137,K32009,Cypress St at Clark Playground,42.32784317,-71.12536222,Brookline,Yes,15,0.0,109.0
138,M32030,Dana Park,42.36178044,-71.10809952,Cambridge,Yes,19,10.0,154.0
139,M32031,Danehy Park,42.388966,-71.132788,Cambridge,Yes,17,0.0,0.0
140,M32075,Danehy Park at New Street,42.389456,-71.139019,Cambridge,Yes,19,0.0,0.0
141,D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Boston,Yes,19,156.0,649.0
142,S32006,Davis Square,42.396969,-71.123024,Somerville,Yes,25,0.0,0.0
143,A32051,Day Sq,42.379295,-71.027733,Boston,Yes,16,27.0,68.0
144,B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Boston,Yes,19,218.0,514.0
145,T32018,Derby Street,42.52009618,-70.89139044,Salem,Yes,11,0.0,0.0
146,M32066,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,Cambridge,Yes,23,0.0,0.0
147,C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Boston,Yes,15,77.0,377.0
148,C32066,Dorchester Ave at King St,42.291718,-71.062571,Boston,Yes,15,43.0,187.0
149,B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Boston,Yes,0,150.0,603.0
150,C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,Yes,15,126.0,496.0
151,A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston,Yes,16,22.0,97.0
152,S32017,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,Somerville,Yes,15,17.0,59.0
153,S32038,Edgerly Education Center,42.38717463,-71.08714389,Somerville,Yes,15,1.0,54.0
154,A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19,59.0,128.0
155,M32034,EF - North Point Park,42.369885,-71.069957,Cambridge,Yes,23,36.0,247.0
156,E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,Yes,15,64.0,306.0
157,V32005,Encore,42.39329263,-71.0724476,Everett,Yes,15,6.0,58.0
158,T32011,Essex St at Dalton Parkway,42.516223,-70.905535,Salem,Yes,11,0.0,0.0
159,V32003,Everett Square (Broadway at Chelsea St),42.40701602,-71.05645001,Everett,Yes,14,0.0,0.0
160,A32000,Fan Pier,42.35339051,-71.0445714,Boston,Yes,15,54.0,256.0
161,C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23,9.0,35.0
162,C32041,Fields Corner T Stop,42.29963349,-71.06068976,Boston,Yes,15,76.0,237.0
163,B32064,Flat 9 at Whittier,42.33420351,-71.08767617,Boston,Yes,15,188.0,649.0
164,S32047,Foley St at Grand Union Blvd,42.3930184,-71.08071685,Somerville,Yes,19,0.0,53.0
165,E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40,44.0,150.0
166,T32010,Forest River Park,42.506395,-70.88693,Salem,Yes,11,0.0,0.0
167,B32062,Forsyth St at Huntington Ave,42.339202,-71.090511,Boston,Yes,15,192.0,772.0
168,S32015,Foss Park,42.39108438,-71.09039426,Somerville,Yes,15,0.0,34.0
169,C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Boston,Yes,11,94.0,264.0
170,C32111,Four Corners/Geneva T Stop,42.30321535,-71.07820988,Boston,Yes,15,87.0,288.0
171,C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Boston,Yes,15,44.0,261.0
172,C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14,68.0,243.0
173,M32051,Fresh Pond Reservation,42.38267828,-71.14347895,Cambridge,Yes,17,0.0,3.0
174,M32078,Galileo Galilei Way at Fulkerson St/Binney St,42.3664204,-71.0885418,Cambridge,Yes,19,0.0,36.0
175,M32072,Galileo Galilei Way at Main Street,42.36300378,-71.08974038,Cambridge,Yes,19,0.0,172.0
176,C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Boston,Yes,15,23.0,88.0
177,C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Boston,Yes,19,32.0,147.0
178,S32046,Gilman Square T at Medford St,42.3867355,-71.0946444,Somerville,Yes,19,0.0,7.0
179,V32006,Glendale Square (Ferry St at Broadway),42.41427294,-71.04479656,Everett,Yes,15,0.0,0.0
180,T32014,Goodhue St at Grove St,42.520897,-70.910528,Salem,Yes,11,0.0,0.0
181,M32081,Gore Street at Lambert Street,42.3730798,-71.08634234,Cambridge,Yes,19,0.0,37.0
182,A32049,Gove St at Orleans St,42.37057753,-71.0355854,Boston,Yes,19,30.0,68.0
183,B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Boston,Yes,35,195.0,432.0
184,M32068,Graham and Parks School ? Linnaean St at Walker St,42.3829443,-71.12449831,Cambridge,Yes,18,0.0,5.0
185,V32015,Gramsdorf Playground,42.408156,-71.0429,Everett,Yes,14,0.0,0.0
186,E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23,83.0,232.0
187,B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15,106.0,272.0
188,S32019,Grove St at Community Path,42.39638681,-71.12011306,Somerville,Yes,15,0.0,0.0
189,F32005,Haines Square,42.42333137,-71.09124541,Medford,Yes,11,0.0,0.0
190,V32012,Hale Park,42.4153271,-71.0528183,Everett,Yes,11,0.0,0.0
191,C32113,Hancock St at Pleasant St,42.30981925,-71.06019938,,Yes,19,72.0,290.0
192,F32004,Harris Park,42.41081837,-71.08152866,Medford,Yes,11,0.0,0.0
193,D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Boston,Yes,17,153.0,521.0
194,C32093,Harrison Ave at E. Dedham St,42.339194,-71.06975,Boston,Yes,19,163.0,627.0
195,C32057,Harrison Ave at Mullins Way,42.34521562,-71.06384031,Boston,Yes,19,116.0,562.0
196,D32035,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,Boston,Yes,15,113.0,267.0
197,M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,Cambridge,Yes,23,19.0,73.0
198,M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,Yes,19,0.0,24.0
199,M32017,Harvard Square at Brattle St / Eliot St,42.3733288,-71.12098601,Cambridge,Yes,15,17.0,68.0
200,M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Cambridge,Yes,19,15.0,64.0
201,K32017,Harvard St and Stedman St,42.34435176,-71.12490356,Brookline,Yes,15,14.0,232.0
202,M32055,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,Cambridge,Yes,19,0.0,5.0
203,A32052,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Boston,Yes,15,44.0,107.0
204,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Cambridge,Yes,17,0.0,30.0
205,M32021,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,Cambridge,Yes,15,0.0,31.0
206,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge,Yes,15,31.0,72.0
207,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge,Yes,19,0.0,22.0
208,M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36923907,-71.11687034,Cambridge,Yes,21,25.0,75.0
209,T32008,Hawthorne Boulevard,42.5223714,-70.8903331,Salem,Yes,9,0.0,0.0
210,K32010,High St at Cypress St,42.32464511,-71.12135231,Brookline,Yes,15,26.0,165.0
211,B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Boston,Yes,25,103.0,465.0
212,A32040,Honan Library,42.3602737,-71.12852452,Boston,Yes,15,68.0,282.0
213,D32060,Hood Park,42.38004535,-71.07304573,Boston,Yes,23,68.0,105.0
214,F32006,Hormel Stadium,42.40721644,-71.09651506,Medford,Yes,11,0.0,0.0
215,B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Boston,Yes,15,138.0,597.0
216,M32044,Huron Ave At Vassal Lane,42.38165061,-71.13426981,Cambridge,Yes,19,0.0,5.0
217,C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Boston,Yes,15,35.0,132.0
218,E32013,Hyde Park Library,42.2568376,-71.122509,Boston,Yes,15,22.0,34.0
219,E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Boston,Yes,15,95.0,318.0
220,C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17,6.0,44.0
221,C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19,12.0,68.0
222,C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,25,124.0,538.0
223,M32062,Inman Square at Springfield St.,42.37426714,-71.10026479,Cambridge,Yes,25,0.0,0.0
224,A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Boston,Yes,19,70.0,221.0
225,E32006,Jackson Square T Stop,42.32293117,-71.10014141,Boston,Yes,18,101.0,415.0
226,D32052,Jamaica St at South St,42.30604563,-71.11570891,Boston,Yes,19,69.0,173.0
227,K32004,JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211,Brookline,Yes,15,72.0,239.0
228,C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Boston,Yes,31,41.0,223.0
229,M32083,John Ahern Field at Kennedy-Longfellow School,42.36903567,-71.0863096,Cambridge,Yes,19,0.0,30.0
230,V32013,Kearins Playground,42.40616124,-71.06041655,Everett,Yes,11,0.0,2.0
231,M32032,Kendall Street,42.36356016,-71.08216792,Cambridge,Yes,17,1.0,220.0
232,M32004,Kendall T,42.36242784,-71.08495474,Cambridge,Yes,23,0.0,249.0
233,B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,26,237.0,536.0
234,M32065,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,Cambridge,Yes,19,0.0,31.0
235,T32006,Lafayette at Leach St,42.51142784,-70.89183301,Salem,Yes,11,0.0,0.0
236,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,Cambridge,Yes,15,0.0,69.0
237,B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Boston,Yes,15,129.0,573.0
238,N32008,Langley Lot,42.330528,-71.192861,Newton,Yes,11,0.0,0.0
239,B32058,Lansdowne T Stop,42.34734473,-71.10016808,Boston,Yes,27,134.0,513.0
240,D32061,Lenox St at Kendall St,42.33759485,-71.08255059,Boston,Yes,17,206.0,756.0
241,M32039,Lesley University,42.38674802,-71.11901879,Cambridge,Yes,15,0.0,0.0
242,A32057,Lewis Mall Wharf,42.36567871,-71.04030132,Boston,Yes,21,14.0,146.0
243,D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19,100.0,313.0
244,M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Cambridge,Yes,19,0.0,0.0
245,L32002,Linwood St at Minuteman Bikeway,42.40935396,-71.14906519,Arlington,Yes,11,0.0,0.0
246,A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15,84.0,445.0
